"region","scientific_name","common_name","redlist_status","habitat","url"
"North-West Pacific","Psammocora vaughani","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Psammocora%20vaughani"
"Pacific","Psammocora vaughani","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Psammocora%20vaughani"
"East Asian Seas","Psammocora vaughani","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Psammocora%20vaughani"
"Pacific","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"Red Sea and Gulf of Aden","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"North-West Pacific","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"East Asian Seas","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"Eastern Africa","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"South Asian Seas","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"ROPME Area","Pseudosiderastrea tayami","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Pseudosiderastrea%20tayami"
"Mediterranean","Puccinellia iberica","","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Puccinellia%20iberica"
"North-East Atlantic","Puccinellia iberica","","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Puccinellia%20iberica"
"East Asian Seas","Rhizophora apiculata","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20apiculata"
"South Asian Seas","Rhizophora apiculata","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20apiculata"
"Pacific","Rhizophora apiculata","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20apiculata"
"Wider Caribbean","Rhizophora mangle","Red Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mangle"
"North-East Pacific","Rhizophora mangle","Red Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mangle"
"West and Central Africa - WACAF","Rhizophora mangle","Red Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mangle"
"ROPME Area","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"Pacific","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"Red Sea and Gulf of Aden","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"South Asian Seas","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"East Asian Seas","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"North-West Pacific","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"Eastern Africa","Rhizophora mucronata","True Mangrove","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20mucronata"
"Wider Caribbean","Rhizophora racemosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20racemosa"
"South-East Pacific","Rhizophora racemosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20racemosa"
"North-East Pacific","Rhizophora racemosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20racemosa"
"West and Central Africa - WACAF","Rhizophora racemosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20racemosa"
"Pacific","Rhizophora samoensis","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20samoensis"
"South-East Pacific","Rhizophora samoensis","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20samoensis"
"North-East Pacific","Rhizophora samoensis","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20samoensis"
"East Asian Seas","Rhizophora stylosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20stylosa"
"South Asian Seas","Rhizophora stylosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20stylosa"
"North-West Pacific","Rhizophora stylosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20stylosa"
"Pacific","Rhizophora stylosa","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Rhizophora%20stylosa"
"North-East Atlantic","Rumex rupestris","Shore Dock","VU","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Rumex%20rupestris"
"South-East Pacific","Ruppia filifolia","","DD","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Ruppia%20filifolia"
"Pacific","Ruppia megacarpa","Large-fruit seatassel","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Ruppia%20megacarpa"
"Pacific","Ruppia tuberosa","Species code: Rt","LC","Seagrasses","https://apiv3.iucnredlist.org/api/v3/website/Ruppia%20tuberosa"
"Mediterranean","Salicornia veneta","Venice Salicorne","VU","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Salicornia%20veneta"
"North-East Atlantic","Samolus valerandi","Brookweed","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Samolus%20valerandi"
"Black Sea","Samolus valerandi","Brookweed","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Samolus%20valerandi"
"Mediterranean","Samolus valerandi","Brookweed","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Samolus%20valerandi"
"Baltic Sea","Samolus valerandi","Brookweed","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Samolus%20valerandi"
"North-West Pacific","Sandalolitha dentata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20dentata"
"Eastern Africa","Sandalolitha dentata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20dentata"
"Pacific","Sandalolitha dentata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20dentata"
"South Asian Seas","Sandalolitha dentata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20dentata"
"East Asian Seas","Sandalolitha dentata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20dentata"
"South Asian Seas","Sandalolitha robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20robusta"
"East Asian Seas","Sandalolitha robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20robusta"
"Eastern Africa","Sandalolitha robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20robusta"
"Pacific","Sandalolitha robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20robusta"
"North-West Pacific","Sandalolitha robusta","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Sandalolitha%20robusta"
"Pacific","Scapophyllia cylindrica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scapophyllia%20cylindrica"
"South Asian Seas","Scapophyllia cylindrica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scapophyllia%20cylindrica"
"North-West Pacific","Scapophyllia cylindrica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scapophyllia%20cylindrica"
"East Asian Seas","Scapophyllia cylindrica","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scapophyllia%20cylindrica"
"West and Central Africa - WACAF","Schizoculina africana","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Schizoculina%20africana"
"West and Central Africa - WACAF","Schizoculina fissipara","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Schizoculina%20fissipara"
"North-East Atlantic","Schoenoplectus corymbosus","","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20corymbosus"
"Red Sea and Gulf of Aden","Schoenoplectus corymbosus","","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20corymbosus"
"Mediterranean","Schoenoplectus corymbosus","","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20corymbosus"
"Caspian Sea","Schoenoplectus lacustris","Common Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20lacustris"
"Black Sea","Schoenoplectus lacustris","Common Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20lacustris"
"Baltic Sea","Schoenoplectus lacustris","Common Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20lacustris"
"Mediterranean","Schoenoplectus lacustris","Common Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20lacustris"
"North-East Atlantic","Schoenoplectus lacustris","Common Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20lacustris"
"South Asian Seas","Schoenoplectus litoralis","Scirpe du Littoral","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20litoralis"
"Mediterranean","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"North-East Atlantic","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"Baltic Sea","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"Mediterranean","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"Black Sea","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"Red Sea and Gulf of Aden","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"Caspian Sea","Schoenoplectus triqueter","Triangular Club-rush","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Schoenoplectus%20triqueter"
"Pacific","Scolymia australis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20australis"
"East Asian Seas","Scolymia australis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20australis"
"North-West Pacific","Scolymia australis","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20australis"
"North-East Pacific","Scolymia cubensis","Artichoke Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20cubensis"
"Wider Caribbean","Scolymia cubensis","Artichoke Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20cubensis"
"Wider Caribbean","Scolymia lacera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20lacera"
"North-East Pacific","Scolymia lacera","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20lacera"
"East Asian Seas","Scolymia vitiensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20vitiensis"
"South Asian Seas","Scolymia vitiensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20vitiensis"
"North-West Pacific","Scolymia vitiensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20vitiensis"
"Pacific","Scolymia vitiensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20vitiensis"
"Eastern Africa","Scolymia vitiensis","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20vitiensis"
"Wider Caribbean","Scolymia wellsi","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20wellsi"
"North-East Pacific","Scolymia wellsi","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Scolymia%20wellsi"
"Pacific","Scyphiphora hydrophylacea","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Scyphiphora%20hydrophylacea"
"South Asian Seas","Scyphiphora hydrophylacea","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Scyphiphora%20hydrophylacea"
"East Asian Seas","Scyphiphora hydrophylacea","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Scyphiphora%20hydrophylacea"
"Mediterranean","Senecio elodes","Cineraria","EN","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Senecio%20elodes"
"South Asian Seas","Senecio wightii","Swamp Ragwort","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Senecio%20wightii"
"Pacific","Seriatopora aculeata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20aculeata"
"North-West Pacific","Seriatopora aculeata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20aculeata"
"East Asian Seas","Seriatopora aculeata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20aculeata"
"Eastern Africa","Seriatopora aculeata","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20aculeata"
"Red Sea and Gulf of Aden","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"East Asian Seas","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"South Asian Seas","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"Eastern Africa","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"Pacific","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"North-West Pacific","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"ROPME Area","Seriatopora caliendrum","Birdsnest Coral","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20caliendrum"
"East Asian Seas","Seriatopora dendritica","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20dendritica"
"Pacific","Seriatopora dendritica","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20dendritica"
"Pacific","Seriatopora guttatus","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20guttatus"
"Eastern Africa","Seriatopora guttatus","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20guttatus"
"East Asian Seas","Seriatopora guttatus","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20guttatus"
"Eastern Africa","Seriatopora hystrix","Thin Birdsnest Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20hystrix"
"East Asian Seas","Seriatopora hystrix","Thin Birdsnest Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20hystrix"
"North-West Pacific","Seriatopora hystrix","Thin Birdsnest Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20hystrix"
"Red Sea and Gulf of Aden","Seriatopora hystrix","Thin Birdsnest Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20hystrix"
"South Asian Seas","Seriatopora hystrix","Thin Birdsnest Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20hystrix"
"Pacific","Seriatopora hystrix","Thin Birdsnest Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20hystrix"
"East Asian Seas","Seriatopora stellata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20stellata"
"South Asian Seas","Seriatopora stellata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20stellata"
"Pacific","Seriatopora stellata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20stellata"
"North-West Pacific","Seriatopora stellata","","NT","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Seriatopora%20stellata"
"South-East Pacific","Sesuvium edmondstonii","","LC","Saltmarshes","https://apiv3.iucnredlist.org/api/v3/website/Sesuvium%20edmondstonii"
"North-East Pacific","Siderastrea glynni","","CR","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20glynni"
"North-East Pacific","Siderastrea radians","Lesser Starlet Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20radians"
"Wider Caribbean","Siderastrea radians","Lesser Starlet Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20radians"
"West and Central Africa - WACAF","Siderastrea radians","Lesser Starlet Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20radians"
"ROPME Area","Siderastrea savignyana","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20savignyana"
"South Asian Seas","Siderastrea savignyana","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20savignyana"
"East Asian Seas","Siderastrea savignyana","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20savignyana"
"Eastern Africa","Siderastrea savignyana","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20savignyana"
"Pacific","Siderastrea savignyana","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20savignyana"
"Red Sea and Gulf of Aden","Siderastrea savignyana","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20savignyana"
"North-East Pacific","Siderastrea siderea","Massive Starlet Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20siderea"
"Wider Caribbean","Siderastrea siderea","Massive Starlet Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Siderastrea%20siderea"
"East Asian Seas","Simplastrea vesicularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Simplastrea%20vesicularis"
"Pacific","Simplastrea vesicularis","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Simplastrea%20vesicularis"
"North-East Pacific","Solenastrea bournoni","Smooth Star Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Solenastrea%20bournoni"
"Wider Caribbean","Solenastrea bournoni","Smooth Star Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Solenastrea%20bournoni"
"Wider Caribbean","Solenastrea hyades","Knobby Star Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Solenastrea%20hyades"
"North-East Pacific","Solenastrea hyades","Knobby Star Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Solenastrea%20hyades"
"North-West Pacific","Sonneratia alba","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20alba"
"South Asian Seas","Sonneratia alba","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20alba"
"Eastern Africa","Sonneratia alba","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20alba"
"East Asian Seas","Sonneratia alba","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20alba"
"Pacific","Sonneratia alba","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20alba"
"South Asian Seas","Sonneratia apetala","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20apetala"
"South Asian Seas","Sonneratia caseolaris","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20caseolaris"
"Pacific","Sonneratia caseolaris","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20caseolaris"
"East Asian Seas","Sonneratia caseolaris","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20caseolaris"
"South Asian Seas","Sonneratia griffithii","","CR","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20griffithii"
"East Asian Seas","Sonneratia griffithii","","CR","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20griffithii"
"Pacific","Sonneratia lanceolata","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20lanceolata"
"East Asian Seas","Sonneratia lanceolata","","LC","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20lanceolata"
"East Asian Seas","Sonneratia ovata","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20ovata"
"Pacific","Sonneratia ovata","","NT","Mangroves","https://apiv3.iucnredlist.org/api/v3/website/Sonneratia%20ovata"
"Wider Caribbean","Stephanocoenia intersepta","Blushing Star Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stephanocoenia%20intersepta"
"North-East Pacific","Stephanocoenia intersepta","Blushing Star Coral","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stephanocoenia%20intersepta"
"East Asian Seas","Stylaraea punctata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylaraea%20punctata"
"Eastern Africa","Stylaraea punctata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylaraea%20punctata"
"North-West Pacific","Stylaraea punctata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylaraea%20punctata"
"Red Sea and Gulf of Aden","Stylaraea punctata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylaraea%20punctata"
"Pacific","Stylaraea punctata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylaraea%20punctata"
"South Asian Seas","Stylaraea punctata","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylaraea%20punctata"
"South Asian Seas","Stylocoeniella armata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20armata"
"North-West Pacific","Stylocoeniella armata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20armata"
"East Asian Seas","Stylocoeniella armata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20armata"
"Red Sea and Gulf of Aden","Stylocoeniella armata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20armata"
"Pacific","Stylocoeniella armata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20armata"
"Eastern Africa","Stylocoeniella armata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20armata"
"Pacific","Stylocoeniella cocosensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20cocosensis"
"East Asian Seas","Stylocoeniella cocosensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20cocosensis"
"North-West Pacific","Stylocoeniella cocosensis","","VU","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20cocosensis"
"South Asian Seas","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"Red Sea and Gulf of Aden","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"ROPME Area","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"North-West Pacific","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"Pacific","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"Eastern Africa","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"East Asian Seas","Stylocoeniella guentheri","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20guentheri"
"ROPME Area","Stylocoeniella muscosus","","DD","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylocoeniella%20muscosus"
"ROPME Area","Stylophora danae","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20danae"
"Red Sea and Gulf of Aden","Stylophora danae","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20danae"
"Eastern Africa","Stylophora danae","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20danae"
"Eastern Africa","Stylophora kuehlmanni","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20kuehlmanni"
"ROPME Area","Stylophora kuehlmanni","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20kuehlmanni"
"Red Sea and Gulf of Aden","Stylophora kuehlmanni","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20kuehlmanni"
"Eastern Africa","Stylophora madagascarensis","","EN","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20madagascarensis"
"Eastern Africa","Stylophora mamillata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20mamillata"
"ROPME Area","Stylophora mamillata","","LC","Warm-water coral reefs","https://apiv3.iucnredlist.org/api/v3/website/Stylophora%20mamillata"
